Thu Mar 23 11:43:43 CST 2017
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput




--- Hop Node Number:3 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    11         16.2729             136.89
           0        tcp     0    11         17.2951            144.255
           0        tcp     0    11         18.3029            146.323
           0        tcp     0    11         19.3277            143.877
           0        tcp     0    11         20.3459            144.824
           0        tcp     0    11         21.3471             147.29
           0        tcp     0    11         22.3713            147.964
           0        tcp     0    11         23.3936            140.233
           0        tcp     0    11         24.4101            145.065
           0        tcp     0    11         25.4127            147.067
           0        tcp     0    11         26.4263            145.476
           0        tcp     0    11          27.449            148.191
           0        tcp     0    11         28.4708            136.302
           0        tcp     0    11         29.4882            140.906
           0        tcp     0    11         30.5032            149.315
           0        tcp     0    11         31.5147            141.728
           0        tcp     0    11         32.5288            149.435
           0        tcp     0    11         33.5632            126.718
           0        tcp     0    11         34.5905            107.656
           0        tcp     0    11          35.612            128.311
           0        tcp     0    11         36.6222            145.972
           0        tcp     0    11         37.6416            144.649
           0        tcp     0    11         38.6434             147.18
           0        tcp     0    11         39.6513            146.302
           0        tcp     0    11         40.6598            138.098
           0        tcp     0    11         41.6703            145.927
           0        tcp     0    11         42.6811            153.981
           0        tcp     0    11         43.6935            145.646
           0        tcp     0    11         44.7233            143.189
           0        tcp     0    11         45.7321            150.227
           0        tcp     0    11         46.7525            148.525
           0        tcp     0    11          47.771            148.806
           0        tcp     0    11         48.7775            150.561
           0        tcp     0    11         49.8048            151.524



--- Hop Node Number:13 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    12         2.00439            114.187
           0        tcp     0    12         3.01447            145.984
           0        tcp     0    12         4.02611            145.759
           0        tcp     0    12         5.03868            149.671
           0        tcp     0    12         6.06363            147.864
           0        tcp     0    12          7.0676            146.872
           0        tcp     0    12         8.08568            148.861
           0        tcp     0    12         9.08819            143.001
           0        tcp     0    12         10.1196            142.966
           0        tcp     0    12         11.1399            148.535
           0        tcp     0    12          12.153            137.471
           0        tcp     0    12         13.1564            138.785
           0        tcp     0    12         14.1734            144.991
           0        tcp     0    12         15.1932            144.588
           0        tcp     0    12          16.199            150.686
           0        tcp     0    12         17.2192            148.546
           0        tcp     0    12         18.2404            148.412
           0        tcp     0    12         19.2575            149.005
           0        tcp     0    12         20.2901            146.761
           0        tcp     0    12         21.2942            150.935
           0        tcp     0    12         22.2956            155.438
           0        tcp     0    12         23.3148            140.647
           0        tcp     0    12         24.3236            142.122
           0        tcp     0    12         25.3275            150.955
           0        tcp     0    12         26.3293             151.28
           0        tcp     0    12          27.365            142.379
           0        tcp     0    12         28.3808            145.153



--- Hop Node Number:14 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    13         2.00496            110.046
           0        tcp     0    13         3.01743            145.639
           0        tcp     0    13         4.04263            135.842
           0        tcp     0    13         5.06158            140.693
           0        tcp     0    13          6.0959            146.524
           0        tcp     0    13         7.12392            147.421
           0        tcp     0    13         8.13471            145.882
           0        tcp     0    13         9.15329            132.702
           0        tcp     0    13         10.1764            132.109
           0        tcp     0    13         11.1947             140.79
           0        tcp     0    13         12.2041            142.031
           0        tcp     0    13         13.2122            150.325
           0        tcp     0    13         14.2206            146.232
           0        tcp     0    13         15.2498            139.293
           0        tcp     0    13         16.2657             141.12
           0        tcp     0    13         17.2813             141.15
           0        tcp     0    13         18.3067            143.803
           0        tcp     0    13         19.3295            140.165
           0        tcp     0    13         20.3316            143.058
           0        tcp     0    13         21.3424            137.781
           0        tcp     0    13         22.3691            139.629
           0        tcp     0    13         23.3803            141.777
           0        tcp     0    13         24.4045            143.972
           0        tcp     0    13         25.4265             148.28
           0        tcp     0    13         26.4285            147.162
           0        tcp     0    13         27.4391            149.965
           0        tcp     0    13         28.4533            141.362
           0        tcp     0    13         29.4776            151.946
           0        tcp     0    13         30.4811            138.775
           0        tcp     0    13         31.4932            137.599
           0        tcp     0    13         32.5252            142.892
           0        tcp     0    13         33.5287            146.938
           0        tcp     0    13         34.5581            147.224
           0        tcp     0    13         35.5607            147.079
           0        tcp     0    13         36.5663            142.559
           0        tcp     0    13         37.5814            145.265
           0        tcp     0    13         38.5944            145.559
           0        tcp     0    13         39.5965            143.059
           0        tcp     0    13         40.6068            137.841
           0        tcp     0    13         41.6077            147.325
           0        tcp     0    13         42.6281            144.516
           0        tcp     0    13         43.6365            146.226
           0        tcp     0    13         44.6508            141.337
           0        tcp     0    13         45.6673            141.033
           0        tcp     0    13         46.6689            139.036
           0        tcp     0    13         47.6976            147.325
           0        tcp     0    13         48.7211            144.075
           0        tcp     0    13         49.7401            144.712
           0        tcp     0    13         50.7647            151.909
           0        tcp     0    13         51.7727            142.214
           0        tcp     0    13         52.7847            141.658
           0        tcp     0    13         53.8088            147.995
           0        tcp     0    13         54.8278             152.74
           0        tcp     0    13           55.84            137.593
           0        tcp     0    13         56.8518            133.584
           0        tcp     0    13          57.874            140.251
           0        tcp     0    13         58.8889            145.286
           0        tcp     0    13         59.9161            135.576
           0        tcp     0    13         60.9315            137.158
           0        tcp     0    13         61.9381            134.282
           0        tcp     0    13         62.9411            142.929
           0        tcp     0    13         63.9527            141.713
           0        tcp     0    13         64.9724            144.615
           0        tcp     0    13         65.9957            144.093
           0        tcp     0    13         67.0077            137.605
           0        tcp     0    13          68.034            131.707
           0        tcp     0    13         69.0453            141.757
           0        tcp     0    13         70.0511            130.315
           0        tcp     0    13         71.0808            131.275
           0        tcp     0    13         72.0837            138.856
           0        tcp     0    13         73.0968            145.548
           0        tcp     0    13         74.0981            147.271
           0        tcp     0    13         75.1162             148.85
           0        tcp     0    13         76.1339            144.903
           0        tcp     0    13         77.1423            138.099
           0        tcp     0    13         78.1476            146.677
           0        tcp     0    13         79.1683            148.486
           0        tcp     0    13         80.1777            150.128
           0        tcp     0    13         81.1899            141.635
           0        tcp     0    13         82.1972            142.327
           0        tcp     0    13         83.2005            146.965
           0        tcp     0    13         84.2214            144.443
           0        tcp     0    13         85.2464            143.862
           0        tcp     0    13         86.2619            133.098
           0        tcp     0    13         87.2791            136.911
           0        tcp     0    13         88.2868            134.137
           0        tcp     0    13         89.2946            138.179
           0        tcp     0    13         90.3221            135.548
           0        tcp     0    13         91.3567            138.555
           0        tcp     0    13         92.3749            140.808
           0        tcp     0    13         93.4009            147.704
           0        tcp     0    13         94.4263            143.801
           0        tcp     0    13         95.4282            143.096



--- Hop Node Number:15 ---
#       flow   flowType   src   dst            time         throughput




--- Hop Node Number:16 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    15         2.01172            101.214



--- Hop Node Number:17 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    16          2.0237             100.03
           0        tcp     0    16         3.02382            131.055
           0        tcp     0    16         4.04345            140.601
           0        tcp     0    16         5.06466            148.404
           0        tcp     0    16         6.08044            133.068
           0        tcp     0    16         7.10333            132.143
           0        tcp     0    16         8.11453            145.823
           0        tcp     0    16         9.13547            140.419
           0        tcp     0    16         10.1582            120.147
           0        tcp     0    16         11.1606             130.76
           0        tcp     0    16         12.1706            141.948



--- Hop Node Number:18 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    17         2.00072            98.2329
           0        tcp     0    17         3.00786            146.411
           0        tcp     0    17         4.02764            144.596
           0        tcp     0    17         5.03843            141.831
           0        tcp     0    17         6.05222            145.449
           0        tcp     0    17         7.05894            142.403
           0        tcp     0    17         8.09517            146.254
           0        tcp     0    17         9.10752            141.611
           0        tcp     0    17         10.1209            133.389
           0        tcp     0    17         11.1283            142.294
           0        tcp     0    17          12.166            146.052
           0        tcp     0    17         13.1741            146.265
           0        tcp     0    17         14.2002            143.716
           0        tcp     0    17         15.2261             147.72
           0        tcp     0    17         16.2449            128.656
           0        tcp     0    17          17.274            127.359
           0        tcp     0    17         18.2806            142.426
           0        tcp     0    17         19.3119            139.005
           0        tcp     0    17         20.3274            145.213
           0        tcp     0    17         21.3336            138.404
           0        tcp     0    17         22.3592            131.791
           0        tcp     0    17         23.3788            136.588



--- Hop Node Number:19 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    18         2.02774            95.6506
           0        tcp     0    18         3.05932            135.001
           0        tcp     0    18         4.07149            141.637
           0        tcp     0    18         5.09297            144.355
           0        tcp     0    18         6.09746            130.486
           0        tcp     0    18         7.10441            138.304
           0        tcp     0    18         8.11574            145.804
           0        tcp     0    18         9.14443             135.38
           0        tcp     0    18         10.1472            134.801
           0        tcp     0    18         11.1783            139.027
           0        tcp     0    18         12.2027            143.948
           0        tcp     0    18         13.2182            137.134
           0        tcp     0    18         14.2263            134.083
           0        tcp     0    18          15.239            145.608
           0        tcp     0    18         16.2636            143.923
           0        tcp     0    18         17.2745            145.867
           0        tcp     0    18         18.2775            134.753
           0        tcp     0    18         19.2806             134.76
           0        tcp     0    18          20.291            133.778
           0        tcp     0    18         21.3086             132.82
           0        tcp     0    18         22.3332            131.927
           0        tcp     0    18         23.3472            141.383
           0        tcp     0    18          24.369            132.279
           0        tcp     0    18         25.3704            134.987
           0        tcp     0    18         26.3915            140.394
           0        tcp     0    18         27.4091            136.855
           0        tcp     0    18         28.4192            137.868
           0        tcp     0    18         29.4642            141.115
           0        tcp     0    18         30.4776            141.463
           0        tcp     0    18         31.4837            134.347
           0        tcp     0    18         32.4896            138.443
           0        tcp     0    18         33.4973            142.265
           0        tcp     0    18         34.5181            144.454
           0        tcp     0    18         35.5479            143.188
           0        tcp     0    18          36.552            146.857
           0        tcp     0    18         37.5535            143.138
           0        tcp     0    18         38.5556            143.063
           0        tcp     0    18         39.5828            139.558
           0        tcp     0    18         40.6038            136.412
           0        tcp     0    18         41.6212            128.828
           0        tcp     0    18         42.6309            141.976
           0        tcp     0    18         43.6587            131.517
           0        tcp     0    18         44.6616            134.771
           0        tcp     0    18         45.6918             135.18
           0        tcp     0    18         46.6959            130.538
           0        tcp     0    18         47.6963            135.112
           0        tcp     0    18         48.6979            139.046
           0        tcp     0    18         49.7201            136.239
           0        tcp     0    18         50.7389            136.698
           0        tcp     0    18         51.7681            135.307
           0        tcp     0    18         52.7695            143.167
           0        tcp     0    18         53.7791            141.999
           0        tcp     0    18         54.7921            141.512
           0        tcp     0    18         55.8225            135.156
           0        tcp     0    18         56.8291            134.285
           0        tcp     0    18         57.8565            135.549
           0        tcp     0    18         58.8738            140.923
           0        tcp     0    18         59.9148            133.779
           0        tcp     0    18         60.9148            135.167
           0        tcp     0    18         61.9241            137.982
           0        tcp     0    18         62.9385            133.244
           0        tcp     0    18         63.9527            133.286
           0        tcp     0    18         64.9571            142.719
           0        tcp     0    18         65.9713            137.316
           0        tcp     0    18         67.0024            135.062
           0        tcp     0    18         68.0118            133.916
           0        tcp     0    18         69.0233            137.681
           0        tcp     0    18         70.0486            139.826
           0        tcp     0    18         71.0646            141.095
           0        tcp     0    18         72.0926            123.524
           0        tcp     0    18         73.1013            129.935
           0        tcp     0    18         74.1033            143.081
           0        tcp     0    18         75.1141            137.766
           0        tcp     0    18         76.1355            140.366
           0        tcp     0    18         77.1506            141.224
           0        tcp     0    18         78.1751            139.928
           0        tcp     0    18         79.1906            137.145
           0        tcp     0    18         80.2186            131.481
           0        tcp     0    18         81.2509            134.907
           0        tcp     0    18         82.2792            143.398
           0        tcp     0    18          83.292            137.502



--- Hop Node Number:20 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    19         2.02229            84.1405
           0        tcp     0    19           3.046            132.038
           0        tcp     0    19         4.05143            142.585
           0        tcp     0    19         5.05499            146.932
           0        tcp     0    19         6.06969            145.321
           0        tcp     0    19         7.09675             143.57
           0        tcp     0    19         8.10463            146.304
           0        tcp     0    19          9.1088            126.448
           0        tcp     0    19         10.1106            139.008
           0        tcp     0    19         11.1286            136.811
           0        tcp     0    19         12.1354            142.387
           0        tcp     0    19         13.1754            137.852
           0        tcp     0    19         14.1836            142.187
           0        tcp     0    19         15.1986            141.239
           0        tcp     0    19         16.2161            140.904
           0        tcp     0    19         17.2175            139.066
           0        tcp     0    19         18.2182            139.169
           0        tcp     0    19         19.2437             139.79
           0        tcp     0    19         20.2939            136.507
           0        tcp     0    19         21.3003            134.303
           0        tcp     0    19         22.3291            135.369
           0        tcp     0    19          23.351            136.277
           0        tcp     0    19           24.38            143.301
           0        tcp     0    19         25.3909            141.819


